Functional Location,Plnt,BOM Usg,Item,Component,Quantity,Un,Un,A
1715-05-01-08-16B-02B-016-0010,1715,4,0100,90000040,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0110,90000057,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0120,90000908,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0130,90000909,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0140,90000188,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0150,90000693,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0160,90000694,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0190,90000351,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0010,90000984,2,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0020,90000986,4,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0030,90000987,4,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0040,90000988,2,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0020,90000537,2,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0130,90000502,2,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0140,90000170,61,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0040,90000126,5,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0030,90000264,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0010,90001032,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0150,90000351,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0120,90000694,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0110,90000693,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0100,90000188,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0090,90000909,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0080,90000908,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0070,90000057,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0060,90000040,1,EA,EA,C
1715-05-01-08-16B-02C-016-0011,1715,4,0050,90000039,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0060,90000537,2,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0080,90000126,5,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0170,90000502,2,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0180,90000170,45,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0040,90000988,4,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0010,90000984,4,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0020,90000986,8,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0030,90000987,8,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0190,90000351,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0050,90001032,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0150,90000693,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0160,90000694,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0070,90000264,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0090,90000039,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0100,90000040,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0110,90000057,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0120,90000908,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0130,90000909,1,EA,EA,C
1715-05-01-08-16B-02D-016-0012,1715,4,0140,90000188,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0130,90000502,2,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0050,90000039,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0060,90000040,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0070,90000057,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0080,90000908,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0090,90000909,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0100,90000188,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0110,90000693,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0120,90000694,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0150,90000351,1,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0040,90000126,5,EA,EA,C
1715-05-01-08-16B-02E-016-0013,1715,4,0020,90000537,2,EA,EA,C
