"Material";"Plant";"Material Description";"HasStock";"DUPLICATE_REFERENCE";"MANUFACTURER/VENDOR";"PART_NUMBER";"M";"Utopia_OEMFlag";"Z011_NotOEM";"count(Characteristic Value)";"maximum(Criticality)";"count(BOM Usg)";"CLASS";"MFRPN";"MFRNR";"Class1";"Class2";"Fournisseur";"Priority"
90002790;1715;"POWER SUPPLY ELECTRICAL EDSON 1469490000";"false";;"EDSON";"1469490000";"EDSON";"NOT OEM";"TRUE";0;;;;;;;;;0
90000137;1715;"CABLE ELECTRICAL PCMC 30294955 20000MM";"false";;"PCMC";"30294955";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;8
90000364;1715;"GEARBOX PCMC 30539479 100:1";"false";;"PCMC";"30539479";"PCMC";"NOT OEM";"TRUE";2;4;2;;;;;;;0
90000514;1715;"SWITCH PRESSURE PCMC 38543 5A 180PSI";"false";;"PCMC";"38543";"PCMC";"NOT OEM";"TRUE";0;4;3;;;;;;;8
90000184;1715;"BELT PCMC 30506736 FLAT 1495MM 1.3MM";"false";;"PCMC";"30506736";"PCMC";"NOT OEM";"TRUE";1;0;2;;;;;;;-4
90002260;1715;"CONTACTOR ALLEN BRADLEY 104S-C09EJ210BC";"false";;"ROCKWELL AUTOMATION";"104S-C09EJ210BC";"ALLEN-BRADLEY";"OEM";"FALSE";2;;;;;;;;;4
90002259;1715;"CONTACTOR ALLEN BRADLEY 100S-C72DJ14BC";"false";;"ROCKWELL AUTOMATION";"100S-C72DJ14BC";"ALLEN-BRADLEY";"OEM";"FALSE";2;;;;;;;;;4
90002403;1715;"GEAR BRETTING 2132-248";"false";;"BRETTING";"2132-248";"BRETTING";"NOT OEM";"TRUE";;2;6;;;;;;;6
90002694;1715;"ENCODER BRETTING 24000095 LINEAR";"false";;"BRETTING";"24000095";"BRETTING";"NOT OEM";"TRUE";1;;;;;;;;;-8
90000194;1715;"CONNECTOR RING PCMC 30533277";"false";;"PCMC";"30533277";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;6
