COEMF REQUEST#,CIE,VENDOR,VENDOR PART #,Part# found in SAP Desc,Material Group,CLASS ID,CLASS DESCRIPTION,SAP PARTS DESCRIPTION FR,SAP PARTS DESCRIPTION EN,LENGTH,PCMC#,COMMENTS,STATUS,SAP#,RESP
361,3411,OMRON,S8VM-01512,,,,,BLOC ALIM INT 15W 12VDC 1.3A OUV BASE ,PWR SUPP SWT 15W 12VDC 1.3A OPEN BOTTOM,38/39,OMRON / S8VM-01512,3411v1808.10,PROD,90012796,
361,3411,OMRON,S8VS-09024A,,,,,BLOC ALIM INT 90W 24VDC 3.75A MFM EMET,PWR SUPP SWT 90W 24VDC 3.75A MFM EMIT,38/37,OMRON / S8VS-09024A,3411v1808.10,PROD,90012794,
361,3411,OMRON,S8VS-09024B,,,,,BLOC ALIM INT 90W 24VDC 3.75A TRT EMET,PWR SUPP SWT 90W 24VDC 3.75A TRT EMIT,38/37,OMRON / S8VS-09024B,3411v1808.10,PROD,90012795,
361,3411,Eaton,XTCE 065D00A,,,,,CONTACTEUR IEC 65A NR 3P D 110-120V,CONTACTOR IEC 65A NR 3P D 110-120V,35/34,EATON / XTCE 065D00A,3411v1808.10,PROD,90012792,
361,3411,Eaton,XTCE025C10A,,,,,CONTACTEUR IEC 25A NR 3P C 110-120V 1NO,CONTACTOR IEC 25A NR 3P C 110-120V 1NO,39/38,EATON / XTCE025C10A,3411v1808.10,PROD,90012793,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,023099,,U31171501,,,PALLIER ROULMT ROUL CONIQUE F4BE111R,BEARING ROLLER SQ TAPERED F4BE111R,36/34,ABB MOTORS & MECHANICAL (CANADA) INC / 023099,3411v1808.6,PROD,90012759,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,43143,,U31171504,,,ROULEMENT BILLES 1.125PO 2.440PO 1.500PO,BEARING BALL INS 1.125IN 2.4409IN 1.50IN,40/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / 43143,3411v1808.6,PROD,90012774,
361,3411,DAEMAR INC.,99087,,,,,ARBRE SL MN0.871 MX0.877 LA0.312 LN0.437,SHAFT SLV MN0.871 MX0.877 W0.312 L0.437,40/39,DAEMAR INC. / 99087,3411v1808.6,PROD,90012743,
361,3411,DAEMAR INC.,99125,,,,,ARBRE SL MN1.245 MX1.253 LA0.312 LN0.437,SHAFT SLV MN1.245 MX1.253 W0.312 L0.437,40/39,DAEMAR INC. / 99125,3411v1808.6,PROD,90012744,
361,3411,DAEMAR INC.,99139,,,,,ARBRE SL MN1.372 MX1.378 LA0.500 LN0.063,SHAFT SLV MN1.372 MX1.378 W0.500 L0.063,40/39,DAEMAR INC. / 99139,3411v1808.6,PROD,90012745,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,100500,,,,,PIGNON CHAÎNE DE BAGUE 40/1/2PO 1008/14,"SPROCKET BUSHING C 40/1/2"" 1008/14 ST",39/37,ABB MOTORS & MECHANICAL (CANADA) INC / 100500,3411v1808.6,PROD,90012753,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,110748,,,,,COURROIE DENTEE HTD 1.97PO P488M50-SD,SPROCKET BELT HTD W 1.97IN P488M50-SD,37/37,ABB MOTORS & MECHANICAL (CANADA) INC / 110748,3411v1808.6,PROD,90012758,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,120359,,,,,DOUILLE DÉCO RAPIDE SH ALÉSAGE 1-3/8PO,BUSHING QCK DISC SH BR 1-3/8 IN ST,38/34,ABB MOTORS & MECHANICAL (CANADA) INC / 120359,3411v1808.6,PROD,90012755,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,120380,,,,,DOUILLE DÉCO RAPIDE SD ALÉSAGE 1-1/2PO,BUSHING QCK DISC SD BR 1-1/2 IN ST,38/34,ABB MOTORS & MECHANICAL (CANADA) INC / 120380,3411v1808.6,PROD,90012757,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,120471,,,,,DOUILLE DÉCO RAPIDE SF ALÉSAGE 1-15/16PO,BUSHING QCK DISC SF BR 1-15/16 IN ST,40/36,ABB MOTORS & MECHANICAL (CANADA) INC / 120471,3411v1808.6,PROD,90012756,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,129694,,U31171504,,,ROULEMENT BILLES B4B ALS 3.0PO USAGE MOY,BEARING BALL FLG 4B BORE 3.0IN MED DUTY,40/39,ABB MOTORS & MECHANICAL (CANADA) INC / 129694,3411v1808.6,PROD,90012752,
