MATERIAL_NUMBER,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000089,U26111804,BELT PCMC 110174,NA,PCMC,PCMC,NA,110174,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000090,U26111802,BELT TIMING PCMC 131678.019.0 14MM,NA,PCMC,PCMC,NA,131678.019.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000091,U26111802,BELT TIMING PCMC 131678.023.0 14MM,NA,PCMC,PCMC,NA,131678.023.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000092,U26111802,BELT TIMING PCMC 131678.025.0 14MM,NA,PCMC,PCMC,NA,131678.025.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000093,U26111802,BELT TIMING PCMC 131678.512.0 8MM 30MM,NA,PCMC,PCMC,NA,131678.512.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000094,U26111802,BELT TIMING PCMC 131678.514.0 8MM,NA,PCMC,PCMC,NA,131678.514.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000095,U26111802,BELT TIMING PCMC 131678.516.0 8MM 30MM,NA,PCMC,PCMC,NA,131678.516.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000096,U26111802,BELT TIMING PCMC 131678.519.0 8MM 20MM,NA,PCMC,PCMC,NA,131678.519.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000097,U26111802,BELT TIMING PCMC 131678.520.0 8MM 30MM,NA,PCMC,PCMC,NA,131678.520.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000098,U26111802,BELT TIMING PCMC 131678.521.0 8MM,NA,PCMC,PCMC,NA,131678.521.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000099,U26111802,BELT TIMING PCMC 131678.530.0 8MM 30MM,NA,PCMC,PCMC,NA,131678.530.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000100,U26111802,BELT TIMING PCMC 131678.537.0 8MM,NA,PCMC,PCMC,NA,131678.537.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000101,U26111802,BELT TIMING PCMC 131678.540.0 8MM 800 PL,NA,PCMC,PCMC,NA,131678.540.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000102,U26111802,BELT TIMING PCMC 132908.039.0 8MM 20MM,NA,PCMC,PCMC,NA,132908.039.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000103,U26111802,LT TIMING PCMC 132908.062.0 8MM 20MM,NA,PCMC,PCMC,NA,132908.062.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000104,U26111802,BELT TIMING PCMC 152016.003.0 14MM,NA,PCMC,PCMC,NA,152016.003.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000105,U26111802,BELT TIMING PCMC 153250.215.0 8MM 20MM,NA,PCMC,PCMC,NA,153250.215.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000106,U26111802,BELT TIMING PCMC 153250.246.0 8MM 50MM,NA,PCMC,PCMC,NA,153250.246.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000107,U26111802,BELT TIMING PCMC 153250.420.0 14MM 55MM,NA,PCMC,PCMC,NA,153250.420.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000108,U26111802,BELT TIMING PCMC 153845.504.0 14MM,NA,PCMC,PCMC,NA,153845.504.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000109,U26111802,BELT TIMING PCMC 30641605 8MM 62MM,NA,PCMC,PCMC,NA,30641605,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000110,U26111802,BELT TIMING PCMC 32105 14MM 994 PL,NA,PCMC,PCMC,NA,32105,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000111,U22101703,BLADE ANVIL PCMC 30088314.330 3300MM,NA,PCMC,PCMC,NA,30088314.330,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000112,U22101703,BLADE ANVIL PCMC 30478064.330 3300MM,NA,PCMC,PCMC,NA,30478064.330,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000113,U22101703,BLADE PERFO PCMC 30091285.063 3300MM,NA,PCMC,PCMC,NA,30091285.063,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000114,U22101703,BLADE PERFO PCMC 30091285.064 3300MM,NA,PCMC,PCMC,NA,30091285.064,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000115,U22101703,BLADE PERFO PCMC 30091285.065 3300MM,NA,PCMC,PCMC,NA,30091285.065,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000116,U40101601,BLOWER VACUUM PCMC 153019.001.0,NA,PCMC,PCMC,NA,153019.001.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000117,U31162500,BRACKET PCMC 123817 80MM SWVL EYE BRKT,NA,PCMC,PCMC,NA,123817,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000118,U31162500,BRACKET PCMC 30003378 80MM CLEVIS BRKT,NA,PCMC,PCMC,NA,30003378,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000119,U31162500,BRACKET PCMC 30505055,NA,PCMC,PCMC,NA,30505055,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000120,U27113000,BRUSH PCMC 30543794,NA,PCMC,PCMC,NA,30543794,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000121,U24112000,BUCKET PCMC 30741450,NA,PCMC,PCMC,NA,30741450,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000122,U39121021,BUSBAR ELECTRICAL PCMC 101003 180A,NA,PCMC,PCMC,NA,101003,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000123,U39121021,BUSBAR ELECTRICAL PCMC 101017 400A,NA,PCMC,PCMC,NA,101017,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000124,U31171603,BUSHING INFINITY 510-0632C 0.5IN 0.50IN,NA,INFINITY,INFINITY,NA,510-0632C,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000125,U31171603,BUSHING INFINITY 510-0633A 0.63IN 0.63IN,NA,INFINITY,INFINITY,NA,510-0633A,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000126,U31171603,BUSHING INFINITY 510-3000 1.0IN 1.00IN,NA,INFINITY,INFINITY,NA,510-3000,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000127,U31171603,BUSHING PCMC 100448 25MM,NA,PCMC,PCMC,NA,100448,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
